resume,url,lead_paragraph,source,headline,keywords,date,byline,uri,sentiment
The story of an uncle’s cocaine conviction formed only part of Judge Jackson’s understanding of the system’s complexities. She is now seen as a contender to be President Biden’s Supreme Court pick.,https://www.nytimes.com/2022/01/30/us/politics/supreme-court-ketanji-brown-jackson.html,Follow the latest updates on Judge Ketanji Brown Jackson’s Supreme Court confirmation hearings.,The New York Times,"{'main': 'For Ketanji Brown Jackson, View of Criminal Justice Was Shaped by Family', 'kicker': None, 'content_kicker': None, 'print_headline': 'A Judge With a View of Justice Shaped by Family', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Jackson, Ketanji Brown (1970- )', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Appointments and Executive Changes', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Breyer, Stephen G', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Supreme Court (US)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Criminal Justice', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Courts and the Judiciary', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Black People', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Blacks', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Women and Girls', 'rank': 13, 'major': 'N'}]",2022-01-30T17:45:49+0000,"{'original': 'By Patricia Mazzei and Charlie Savage', 'person': [{'firstname': 'Patricia', 'middlename': None, 'lastname': 'Mazzei', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Charlie', 'middlename': None, 'lastname': 'Savage', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",nyt://article/ebc81e00-22b8-54cc-9ab1-1050ffd105fd,0.0
"As Biden prepares to nominate the first Black woman to the nation’s highest court, members of this small, elite group are watching with complicated emotions.",https://www.nytimes.com/2022/01/29/us/supreme-court-black-women-biden.html,"[Race affects our lives in countless ways. To read more stories on race from The New York Times, sign up here for our Race/Related newsletter.]",The New York Times,"{'main': 'Black Women in Law Feel Pride and Frustration Ahead of Court Nominee', 'kicker': None, 'content_kicker': None, 'print_headline': 'Black Women in Law Envision a Supreme Court That Looks ‘More Like America’', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Black People', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Blacks', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Women and Girls', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Discrimination', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Legal Profession', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Law Schools', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Courts and the Judiciary', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Supreme Court (US)', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Appointments and Executive Changes', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 11, 'major': 'N'}, {'name': 'persons', 'value': 'Breyer, Stephen G', 'rank': 12, 'major': 'N'}]",2022-01-29T21:43:43+0000,"{'original': 'By Tariro Mzezewa and Audra D. S. Burch', 'person': [{'firstname': 'Tariro', 'middlename': None, 'lastname': 'Mzezewa', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Audra', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",nyt://article/d9ed6d19-6a66-52fc-bab8-dcae3e10d574,-0.16666666666666666
The boldest measures that President Biden is threatening to deter an invasion of Ukraine could roil the entire Russian economy — but also those of other nations.,https://www.nytimes.com/2022/01/29/us/politics/russia-sanctions-economy.html,"WASHINGTON — The most punishing sanctions that U.S. officials have threatened to impose on Russia could cause severe inflation, a stock market crash and other forms of financial panic that would inflict pain on its people — from billionaires to government officials to middle-class families.",The New York Times,"{'main': 'U.S. Sanctions Aimed at Russia Could Take a Wide Toll', 'kicker': None, 'content_kicker': None, 'print_headline': 'Sanctions’ Toll Could Hobble Life in Russia', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Russia', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Ukraine', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Embargoes and Sanctions', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Putin, Vladimir V', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Defense and Military Forces', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'War and Armed Conflicts', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Banking and Financial Institutions', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Economic Conditions and Trends', 'rank': 10, 'major': 'N'}]",2022-01-29T16:56:37+0000,"{'original': 'By Michael Crowley and Edward Wong', 'person': [{'firstname': 'Michael', 'middlename': None, 'lastname': 'Crowley', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Edward', 'middlename': None, 'lastname': 'Wong', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",nyt://article/94a502b9-9e96-5b2a-990f-92de7cdcd33b,-0.041666666666666664
The president believed pressuring the court’s oldest justice to retire might backfire. A chorus of liberals took a different approach.,https://www.nytimes.com/2022/01/28/us/politics/biden-breyer-retirement.html,"WASHINGTON — President Biden had hoped that Justice Stephen G. Breyer would retire soon. But as he and his advisers waited for the most senior member of the Supreme Court’s liberal wing to make up his mind, the president had made it clear: No one was to do anything to pressure him.",The New York Times,"{'main': 'As Breyer Pondered Retirement, Biden Bet on a Hands-Off Strategy', 'kicker': None, 'content_kicker': None, 'print_headline': 'As Breyer Pondered Retirement, Biden Resisted Urge to Weigh In', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Breyer, Stephen G', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Supreme Court (US)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Appointments and Executive Changes', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 6, 'major': 'N'}]",2022-01-28T23:05:41+0000,"{'original': 'By Katie Rogers and Charlie Savage', 'person': [{'firstname': 'Katie', 'middlename': None, 'lastname': 'Rogers', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Charlie', 'middlename': None, 'lastname': 'Savage', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",nyt://article/5b4fca8c-6991-5fd9-b05c-24e746642421,0.0
The deliberative process that our team followed with Obama’s nominees is outdated. Democrats should move as quickly as possible.,https://www.nytimes.com/2022/01/28/opinion/politics/supreme-court-justice-democrat.html,"With Justice Stephen Breyer’s announcement that he will retire from the Supreme Court this summer, President Biden has a chance to take the landmark step of putting the first Black woman on the court, while shaping the future of jurisprudence. Thanks to President Donald Trump and the former Senate majority leader Mitch McConnell, there is a new set of rules in place for Supreme Court nominations that all but guarantees Democrats will succeed.",The New York Times,"{'main': 'Democrats Should Take a Page From Mitch McConnell’s Book', 'kicker': 'Guest Essay', 'content_kicker': None, 'print_headline': 'Democrats, Take a Page From McConnell’s Book', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Supreme Court (US)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Appointments and Executive Changes', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate Committee on the Judiciary', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'McConnell, Mitch', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 8, 'major': 'N'}]",2022-01-28T22:20:26+0000,"{'original': 'By Stephanie Cutter', 'person': [{'firstname': 'Stephanie', 'middlename': None, 'lastname': 'Cutter', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",nyt://article/036c40c3-5872-59ad-be36-4b9c115c9aff,-0.20000000000000004
"The Broadway star is writing a memoir with the help of a journalist who encouraged her to share what she’s really like, alter ego and all.",https://www.nytimes.com/2022/01/28/arts/chita-rivera-book.html,"Over the last seven decades, the Broadway star Chita Rivera has taken on and defined some of American musical theater’s most iconic roles: Anita in “West Side Story,” Rose in “Bye Bye Birdie,” Velma Kelly in “Chicago.”",The New York Times,"{'main': 'Chita Rivera’s Book Will Introduce Fans to the Real Her', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Rivera, Chita', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Dancing', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Writing and Writers', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Pacheco, Patrick', 'rank': 7, 'major': 'N'}]",2022-01-28T20:55:08+0000,"{'original': 'By Alexandra Alter', 'person': [{'firstname': 'Alexandra', 'middlename': None, 'lastname': 'Alter', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",nyt://article/6707c19b-339c-5c4b-a781-31b726406170,0.2
Responses to a focus group of independent voters. Also: President Biden and the economy; Boris Johnson; sanctions against Russia; debtors and lawyers.,https://www.nytimes.com/2022/01/28/opinion/letters/independent-voters-biden.html,To the Editor:,The New York Times,"{'main': 'How Independent Voters Feel About Biden', 'kicker': 'letters', 'content_kicker': None, 'print_headline': 'How Independents Feel About Biden', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Economy', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2020', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Johnson, Boris', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Manchin, Joe III', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Putin, Vladimir V', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Russia', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Ukraine', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Embargoes and Sanctions', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Credit and Debt', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 12, 'major': 'N'}]",2022-01-28T18:40:20+0000,"{'original': None, 'person': [], 'organization': None}",nyt://article/22dc79d1-0e49-534d-bb1d-1859a001ca58,0.0
A Times investigation reveals how Israel reaped diplomatic gains around the world from NSO’s Pegasus spyware — a tool America itself purchased but is now trying to ban.,https://www.nytimes.com/2022/01/28/magazine/nso-group-israel-spyware.html,"In June 2019, three Israeli computer engineers arrived at a New Jersey building used by the F.B.I. They unpacked dozens of computer servers, arranging them on tall racks in an isolated room. As they set up the equipment, the engineers made a series of calls to their bosses in Herzliya, a Tel Aviv suburb, at the headquarters for NSO Group, the world’s most notorious maker of spyware. Then, with their equipment in place, they began testing.",The New York Times,"{'main': 'The Battle for the World’s Most Powerful Cyberweapon', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Spyware Wars \t\t\t', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'NSO Group', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Cyberwarfare and Defense', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Espionage and Intelligence Services', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Surveillance of Citizens by Government', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Defense and Military Forces', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Arms Trade', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Government Contracts and Procurement', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Human Rights and Human Rights Violations', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Privacy', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Wireless Communications', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Smartphones', 'rank': 13, 'major': 'N'}, {'name': 'organizations', 'value': 'Facebook Inc', 'rank': 14, 'major': 'N'}, {'name': 'organizations', 'value': 'Justice Department', 'rank': 15, 'major': 'N'}, {'name': 'glocations', 'value': 'Mexico', 'rank': 16, 'major': 'N'}, {'name': 'glocations', 'value': 'Panama', 'rank': 17, 'major': 'N'}, {'name': 'glocations', 'value': 'Saudi Arabia', 'rank': 18, 'major': 'N'}, {'name': 'persons', 'value': 'Khashoggi, Jamal', 'rank': 19, 'major': 'N'}, {'name': 'persons', 'value': 'Mohammed bin Salman (1985- )', 'rank': 20, 'major': 'N'}, {'name': 'persons', 'value': 'Netanyahu, Benjamin', 'rank': 21, 'major': 'N'}, {'name': 'subject', 'value': 'United States Defense and Military Forces', 'rank': 22, 'major': 'N'}, {'name': 'persons', 'value': 'Hulio, Shalev', 'rank': 23, 'major': 'N'}, {'name': 'persons', 'value': 'Lavie, Omri', 'rank': 24, 'major': 'N'}, {'name': 'persons', 'value': 'Karmi, Niv', 'rank': 25, 'major': 'N'}]",2022-01-28T10:00:23+0000,"{'original': 'By Ronen Bergman and Mark Mazzetti', 'person': [{'firstname': 'Ronen', 'middlename': None, 'lastname': 'Bergman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Mark', 'middlename': None, 'lastname': 'Mazzetti', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",nyt://article/2aeab53d-67d8-5a54-85b0-fd04ea0b96e2,0.0
Did you follow the news this week? Take our quiz to see how well you stack up with other Times readers.,https://www.nytimes.com/interactive/2022/01/28/briefing/news-quiz-breyer-ukraine-jeopardy.html,Did you follow the news this week? Take our quiz to see how well you stack up with other Times readers.,The New York Times,"{'main': 'The New York Times News Quiz, January 28, 2022', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'internal-sub-only', 'rank': 1, 'major': 'N'}]",2022-01-28T10:00:03+0000,"{'original': None, 'person': [], 'organization': None}",nyt://interactive/82cc0918-cc6f-59b8-a62b-03ca05f4e3c0,-0.125
"In what amounts to a much-needed diplomatic reset, the U.S. is orchestrating the response to Russia’s threatening moves and making sure to include his European allies.",https://www.nytimes.com/2022/01/28/world/europe/biden-putin-ukraine-europe.html,"LONDON — When President Biden held a video call with European leaders about Ukraine this week, it had all the urgency of a Cold War-era crisis, replete with the specter of Russian tanks and troops menacing Eastern Europe. But Mr. Biden expanded the seats on his war council, adding Poland, Italy and the European Union to the familiar lineup of Britain, France and Germany.",The New York Times,"{'main': 'In Standoff With Putin, Biden Makes Sure European Allies Are With Him', 'kicker': None, 'content_kicker': None, 'print_headline': 'In Standoff With Putin, Biden Is Making Sure Allies Are Behind Him', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Russia', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Ukraine', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Defense and Military Forces', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'War and Armed Conflicts', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Putin, Vladimir V', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'North Atlantic Treaty Organization', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Europe', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'European Union', 'rank': 10, 'major': 'N'}]",2022-01-28T05:00:14+0000,"{'original': 'By Mark Landler, Steven Erlanger and David E. Sanger', 'person': [{'firstname': 'Mark', 'middlename': None, 'lastname': 'Landler', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Steven', 'middlename': None, 'lastname': 'Erlanger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}, {'firstname': 'David', 'middlename': 'E.', 'lastname': 'Sanger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 3}], 'organization': None}",nyt://article/086f6d28-1ece-50b2-8164-80a715ce7e71,0.25
"President Biden is suffering in the polls as high inflation saps confidence in the economy, even as growth comes in strong.",https://www.nytimes.com/2022/01/27/business/economy/biden-economy-politics.html,"President Biden is contending with an uncomfortable disconnect: The economy grew at the fastest pace since 1984 last year, but voters are downright pessimistic about economic conditions and their own financial prospects.",The New York Times,"{'main': 'Growth Is Surging in Biden’s Economy. Why Don’t Voters Feel Better?', 'kicker': None, 'content_kicker': None, 'print_headline': 'If G.D.P. Is Up, Why Do Voters Feel So Down?', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Polls and Public Opinion', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Inflation (Economics)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Prices (Fares, Fees and Rates)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Consumer Confidence (Economic Indicator)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States Economy', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 8, 'major': 'N'}]",2022-01-27T21:47:46+0000,"{'original': 'By Jeanna Smialek and Ben Casselman', 'person': [{'firstname': 'Jeanna', 'middlename': None, 'lastname': 'Smialek', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Ben', 'middlename': None, 'lastname': 'Casselman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",nyt://article/5f1c4585-07b0-5aaa-82aa-628c3256f87a,0.29666666666666663
"He was jailed multiple times in the South during the 1960s and made human rights his lifelong cause, following the Jewish doctrine of “tikkun olam” — to repair the world.",https://www.nytimes.com/2022/01/27/us/rabbi-israel-dresner-dead.html,"Israel S. Dresner, a New Jersey rabbi who ventured into the Deep South in the 1960s to champion civil rights, befriended the Rev. Dr. Martin Luther King Jr. and was jailed multiple times for demonstrating against racial segregation, died on Jan. 13 in Wayne, N.J. He was 92.",The New York Times,"{'main': 'Rabbi Israel Dresner, Civil Rights Champion and King Ally, Dies at 92', 'kicker': None, 'content_kicker': None, 'print_headline': 'Rabbi Israel Dresner, 92, Civil Rights Champion Who Befriended King, Dies', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Dresner, Israel S', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Jews and Judaism', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Rabbis', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Civil Rights Movement (1954-68)', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'King, Martin Luther Jr', 'rank': 6, 'major': 'N'}]",2022-01-27T18:05:47+0000,"{'original': 'By Sam Roberts', 'person': [{'firstname': 'Sam', 'middlename': None, 'lastname': 'Roberts', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",nyt://article/9192889a-b371-5c3c-9ef8-be588a08bdaa,-0.02
"Speaking with Justice Stephen Breyer by his side, Mr. Biden hailed his decades on the federal bench, including almost 28 years on the Supreme Court.",https://www.nytimes.com/2022/01/27/us/politics/biden-breyer-retire.html,"WASHINGTON — President Biden said on Thursday that he would name a successor for Justice Stephen G. Breyer by the end of February, calling the retiring jurist “a model public servant in a time of great division” and pledging to take what he called the overdue step of putting a Black woman on the court for the first time in its 232-year history.",The New York Times,"{'main': 'Biden plans to name Breyer’s successor by the end of February.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Biden to Name Pick for Court Within Month', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Breyer, Stephen G', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Supreme Court (US)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Appointments and Executive Changes', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Childs, J Michelle', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Jackson, Ketanji Brown (1970- )', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Kruger, Leondra R', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 11, 'major': 'N'}]",2022-01-27T14:09:14+0000,"{'original': 'By Michael D. Shear', 'person': [{'firstname': 'Michael', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",nyt://article/7bd94110-dccc-5126-bed8-c690444a8064,0.0
The latest on the coming Supreme Court nomination.,https://www.nytimes.com/2022/01/27/briefing/stephen-breyer-retirement-biden-nomination.html,Stephen Breyer has just done something that liberal Supreme Court justices in the modern era don’t always do: He has timed his retirement so that an ideologically similar justice is likely to replace him.,The New York Times,"{'main': 'After Breyer', 'kicker': 'The Morning Newsletter', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Supreme Court (US)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Breyer, Stephen G', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Ginsburg, Ruth Bader', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Appointments and Executive Changes', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 6, 'major': 'N'}]",2022-01-27T11:29:31+0000,"{'original': 'By David Leonhardt', 'person': [{'firstname': 'David', 'middlename': None, 'lastname': 'Leonhardt', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",nyt://article/90c81fc4-b01e-54ea-83c3-b0be82f84f5b,0.5
"The overall 2021 increase in the gross domestic product was the biggest in decades as the pandemic’s effects eased, though challenges persist.",https://www.nytimes.com/2022/01/27/business/us-gdp-4q-2021.html,The U.S. economy ended last year with a flourish as consumer spending and business investment helped loosen the pandemic’s stubborn grip.,The New York Times,"{'main': 'U.S. Economy Grew 1.7% in 4th Quarter, Capping a Strong Year', 'kicker': None, 'content_kicker': None, 'print_headline': 'Economy in 2021  Surged by 5.7%,  Best in Decades', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'United States Economy', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Supply Chain', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Labor and Jobs', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Inflation (Economics)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Gross Domestic Product', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Reserve System', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus Omicron Variant', 'rank': 7, 'major': 'N'}]",2022-01-27T10:00:20+0000,"{'original': 'By Talmon Joseph Smith', 'person': [{'firstname': 'Talmon', 'middlename': 'Joseph', 'lastname': 'Smith', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",nyt://article/f96b06cc-29f5-5d92-9e1f-3f109e118fcc,0.0
